,over_draft,credit_usage,credit_history,purpose,current_balance,Average_Credit_Balance,employment,gender,other_parties,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0,no,6,critical,radio/tv,1169,no_savings,employed,male,none,real estate,67,none,own,2,skilled,1,yes,yes,good
1,no,48,all paid,radio/tv,5951,below_100,employed,female,none,real estate,22,none,own,1,skilled,1,none,yes,bad
2,unchecked,12,critical,education,2096,below_100,employed,male,none,real estate,49,none,own,1,unskilled,2,none,yes,good
3,no,42,all paid,furniture/equipment,7882,below_100,employed,male,guarantor,life insurance,45,none,for free,1,skilled,2,none,yes,good
4,no,24,delayed,new car,4870,below_100,employed,male,none,no known property,53,none,for free,2,skilled,2,none,yes,bad
5,unchecked,36,all paid,education,9055,no_savings,employed,male,none,no known property,35,none,for free,1,unskilled,2,yes,yes,good
6,unchecked,24,all paid,furniture/equipment,2835,below_1000,employed,male,none,life insurance,53,none,own,1,skilled,1,none,yes,good
7,no,36,all paid,used car,6948,below_100,employed,male,none,car,35,none,rent,1,self_employed,1,yes,yes,good
8,unchecked,12,all paid,radio/tv,3059,above_1000,employed,male,none,real estate,61,none,own,1,unskilled,1,none,yes,good
9,no,30,critical,new car,5234,below_100,unemployed,male,none,car,28,none,own,2,self_employed,1,none,yes,bad
10,no,12,all paid,new car,1295,below_100,unemployed,female,none,car,25,none,rent,1,skilled,1,none,yes,bad
11,no,48,all paid,business,4308,below_100,unemployed,female,none,life insurance,24,none,rent,1,skilled,1,none,yes,bad
12,no,12,all paid,radio/tv,1567,below_100,employed,female,none,car,22,none,own,1,skilled,1,yes,yes,good
13,no,24,critical,new car,1199,below_100,employed,male,none,car,60,none,own,2,unskilled,1,none,yes,bad
14,no,15,all paid,new car,1403,below_100,employed,female,none,car,28,none,rent,1,skilled,1,none,yes,good
15,no,24,all paid,radio/tv,1282,below_500,employed,female,none,car,32,none,own,1,unskilled,1,none,yes,bad
16,unchecked,24,critical,radio/tv,2424,no_savings,employed,male,none,life insurance,53,none,own,2,skilled,1,none,yes,good
17,no,30,all paid,business,8072,no_savings,unemployed,male,none,car,25,bank,own,3,skilled,1,none,yes,good
18,no,24,all paid,used car,12579,below_100,employed,female,none,no known property,44,none,for free,1,self_employed,1,yes,yes,bad
19,unchecked,24,all paid,radio/tv,3430,below_1000,employed,male,none,car,31,none,own,1,skilled,2,yes,yes,good
20,unchecked,9,critical,new car,2134,below_100,employed,male,none,car,48,none,own,3,skilled,1,yes,yes,good
21,no,6,all paid,radio/tv,2647,below_1000,employed,male,none,real estate,44,none,rent,1,skilled,2,none,yes,good
22,no,10,critical,new car,2241,below_100,unemployed,male,none,real estate,48,none,rent,2,unskilled,2,none,no,good
23,no,12,critical,used car,1804,below_500,unemployed,male,none,life insurance,44,none,own,1,skilled,1,none,yes,good
24,unchecked,10,critical,furniture/equipment,2069,no_savings,employed,male,none,car,26,none,own,2,skilled,1,none,no,good
25,no,6,all paid,furniture/equipment,1374,below_100,employed,male,none,real estate,36,bank,own,1,unskilled,1,yes,yes,good
26,unchecked,6,all paid,radio/tv,426,below_100,employed,male,none,car,39,none,own,1,unskilled,1,none,yes,good
27,yes,12,all paid,radio/tv,409,above_1000,employed,female,none,real estate,42,none,rent,2,skilled,1,none,yes,good
28,no,7,all paid,radio/tv,2415,below_100,employed,male,guarantor,real estate,34,none,own,1,skilled,1,none,yes,good
29,no,60,delayed,business,6836,below_100,employed,male,none,no known property,63,none,own,2,skilled,1,yes,yes,bad
